date,DLOG(IP)*100,DLOG(RPI_D11)*100,CLI,DLOG(EXPORTS)*100,DLOG(IMPORTS)*100,DLOG(GOVTCONS)*100,DLOG(CAPITAL)*100,DLOG(CONSUMPTION)*100,DLOG(GDPDEF*100)*100,DLOG(WAGES)*100,GB1,DLOG(GDP)*100,DLOG(CPI_D11)*100,TBILL,GB20-TBILL,GBYIELD-TBILL,GB5-TBILL,DLOG(BRENT)*100,CPSPREAD,DLOG(REALHP)*100,DIVYIELD,PE,DLOG(DOLLARATE)*100,DLOG(EURORATE)*100,DLOG(YENRATE)*100,DLOG(NEER)*100,DLOG(REER)*100,DLOG(STOCK)*100,DLOG(M4/CPI_D11)*100,DLOG(BROAD_MONEY/CPI_D11)*100,DLOG(COM)*100,UNEMPLOY,DLOG(EMPLOY)*100,DLOG(M1/CPI_D11)*100,MORT_RATE-GBYIELD,DLOG(STOCK_VOL)*100,DLOG(EPU1)*100,BAA_US-GB10_US,STOCK_BUILD,DLOG(NPISH_CONS)*100,DLOG(DOM_DEMAND)*100,DLOG(VACANCY)*100,DLOG(WORKFORCE_JOBS)*100,DLOG(EMP_JOBS)*100,DLOG(SELF_JOBS)*100,CORP_BOR_SPREADS,PNFC_LOAN_RATE,DLOG(M0/CPI_D11)*100,DLOG(DIVISIA/CPI_D11)*100,DLOG(FTSE_IND)*100,INF_EXP,DLOG(CCI)*100,DLOG(RETAIL_TRADE)*100,DLOG(CAR_REGISTRATION)*100,DLOG(MANUFACTURE_D11)*100,DLOG(CONSTRUCTION)*100,DLOG(INTER_GOODS)*100,DLOG(PROD_INVEST)*100,SURVEY_FIN,SURVEY_ECON,SURVEY_ECON_NEXTYEAR,SURVEY_PRICE,SURVEY_PRICE_NEXTYEAR,SURVEY_UNEMPLOY,SURVEY_FIN_LASTYEAR,DLOG(COM_FOOD)*100,DLOG(COM_NON_FOOD)*100,DLOG(COM_METALS)*100,DLOG(COM_INDUSTRIAL)*100,DLOG(CPI_FOOD_D11)*100,DLOG(CPI_ENERGY_D11)*100,DLOG(DEBT_DOMESTIC)*100,DLOG(DEBT_DOMESTIC_NON_FIN)*100,DLOG(DEBT_GOV)*100,DLOG(DEBT_TOTAL)*100,DLOG(ELECTRIC_SUPPLY_D11)*100,DLOG(ELECTRIC_IMPORTS)*100,DLOG(GAS_IMPORTS_D11)*100,DLOG(GAS_PROD_D11)*100,DLOG(FT_SMALL_CAP)*100,DLOG(FT_MID_CAP)*100,DLOG(FT_LOWYIELD_CAP)*100,DLOG(FT_LARGE_CAP)*100,DLOG(FTSE100)*100,DLOG(FT_INDEX_LINKED)*100,DLOG(RESIDENTIAL_PRICES)*100,DLOG(TOTAL_RESERVES)*100,DLOG(ULC)*100,DLOG(CPI_NO_FOOD_ENER_D11)*100,SURVEY_BUSINESS,NET_TRADE,DLOG(CONS_DEF)*100
1987Q3,1.694163058,0.867230655,104.208,3.665805638,4.513916092,-0.332772958,9.149177395,2.110695716,2.06192872,2.089987854,9.97,2.400641306,0.656991377,9.813,-0.703,0.667,0.197,-3.195159981,0.37,2.656747239,3.08,18.7,1.789200987,1.453757781,1.521811786,-0.126775207,-0.682156847,5.616689352,3.120951045,3.121039719,6.850167449,10,0.931529875,4.538982516,0.796666667,0.779092546,-41.26329418,1.28,1178,2.722897844,2.605709945,5.187548761,1.053758241,0.834308704,1.60580216,1.18,11.49,1.115397323,1.9818424,8.506843087,4.6,-0.236957135,2.114243666,2.210205101,2.388707502,5.366464114,0.43124955,2.026693618,3,3,1,11,36,7.5,-4,-3.393834467,0.98331353,16.2776905,9.423142955,0.572363813,0.048772685,2.995434043,0.739052565,-0.966938495,2.285387922,1.423143097,-16.07178676,8.315757961,6.602210925,8.645102525,7.441529602,4.558071819,4.362719569,4.470186147,-3.824928717,4.635743251,5.722102347,1.603599583,1.127760759,102.2962602,-3.167295043,0.604222255
1987Q4,0.86198584,1.078586295,103.9307,-0.333145784,1.880398283,-0.297339669,2.461277454,1.637412712,0,2.192287646,8.87,1.126070202,1.148892513,8.313,0.567,1.517,0.827,-4.879016417,1.15,-1.3277682,4.45,12.88,14.9875455,-0.42415667,-4.08596614,2.344763926,2.809743126,-32.00271656,2.908975716,2.908981877,15.27979978,9.4,0.903383991,3.240057025,1.1,119.0730948,47.04978803,2.55,292,1.769361181,1.666071781,7.309188401,0.941865322,0.902665826,1.580423154,1.93,10.85,0.783565786,1.911232613,-25.48414152,4,-0.109179362,1.933761922,2.465417464,1.995182278,1.953080244,1.053681194,0.861736602,1,-1.5,-1,13,38,2,-3,13.12224803,2.798081797,21.61012122,11.71468781,1.572910335,-0.036232817,13.07347737,4.615893148,0,10.28615402,1.085889215,10.88136662,-7.859785304,3.722391672,-36.15357071,-33.29059815,1.958570285,-32.54398263,-31.39349147,4.196050707,4.843238823,28.3875971,0.175321976,1.213904912,102.6774618,-3.31660658,0.594016279
1988Q1,1.24893739,0.815072363,103.7075,-1.531832174,1.308880903,0.353789008,4.619354887,2.052289717,2.020270732,2.009427986,8.4,1.766474438,0.708804948,8.25,0.17,1.09,0.55,-11.74279851,1.346666667,0.935809032,4.18,12.73,-0.100755676,4.656119025,2.567996444,0.549516941,0.142714453,4.055017424,3.304503559,3.304744825,9.899093615,8.9,0.856536286,3.795867932,0.923333333,-112.4312118,-40.64741443,2.18,1181,4.98474526,2.38061239,-2.829675021,0.768626728,0.708011787,1.555833892,1.71,10.37,0.473219496,5.089920817,-0.317795996,3.9,-0.051218889,-0.138650252,2.483534859,2.235208416,4.542495502,-1.962547021,4.163289776,2,-1,-4.5,10.5,39,0.5,-5,10.76083214,3.528669964,23.91563086,48.62158082,0.460352852,0.012557113,16.11053089,2.980881432,-1.290845227,12.91210776,0.155249154,-2.893223581,-8.614451724,-8.313786657,8.752741945,5.003488503,7.980904409,2.56900754,2.670732199,3.020762519,3.683226342,3.45633967,0.830365787,0.874220122,102.642399,-3.985224759,1.142806505
1988Q2,0.703874198,1.411040203,103.7044,2.121469049,4.178110193,-0.129334311,2.616575001,1.264057176,0,1.969844082,9.57,0.587748609,1.022242793,9.25,-0.52,0.81,0.31,-9.863839588,0.603333333,7.154768533,4.16,12.72,-9.680216663,-0.379835861,-2.814892283,3.064928853,4.112770934,8.309929706,2.554691058,2.554482451,6.846082737,8.5,0.676135098,2.970936573,-0.163333333,-34.30870489,28.09730115,2.16,546,1.231853859,1.1040344,1.275814678,0.755662124,0.698913124,1.62503576,0.23,10.12,0.870008364,2.20255363,2.066622018,4.7,0.189330294,2.343857378,2.291034519,-0.110426492,0.281915808,1.902728412,0.224215321,3.5,7,3,12.5,44,-7,-4,18.32836264,8.302786398,-6.277684721,18.12828342,0.595023818,1.294166988,6.1513941,-0.86253904,0,4.897677902,0.308137559,10.02831314,6.152371542,-5.324084393,9.014734768,8.803602954,6.179808243,7.023458007,7.417583127,0.956626686,3.955028323,3.171893878,-0.245419765,1.621926653,102.4792942,-3.985764433,1.412552372
1988Q3,2.180462997,1.984781444,103.2637,0.62866504,2.733277062,-0.840179567,0.912795644,2.422739919,1.98026273,2.488762097,10.28,1.511544587,1.267449861,11.563,-3.193,-1.473,-1.713,-17.2776285,0.866666667,9.235365889,4.53,12.06,-1.152208385,1.924217137,-0.045674535,-1.5684988,-1.62542385,-0.415773119,3.779957149,3.780224773,-14.0511922,8.4,0.728950091,2.331050391,1.016666667,2.316264636,-25.28758285,2.2,1554,1.711837631,1.990633244,-3.490490915,0.982340055,0.833115852,2.267948877,1.21,13.13,1.643282744,3.244979344,1.239773119,4.9,-0.324283476,0.577479877,3.379909386,3.108322893,-1.264573519,-2.087605534,3.988090334,0.5,-7.5,-9.5,23,51.5,-8.5,-4.5,-7.312211201,-13.83833338,-14.74432773,-20.24568931,1.703721059,1.130259532,10.72718408,-0.465153176,0,7.416095316,2.070998619,2.193450132,-21.93830749,14.23452128,-2.156375872,-1.741283214,-1.15243668,-1.693521477,-0.596258811,1.013146511,11.56151706,0.901224358,0.802977701,2.152590037,102.5582294,-4.353688294,0.739792675
1988Q4,0.362088765,2.094163519,102.4437,-2.125192211,5.490075403,1.412715824,-0.107256873,0.659750777,3.846628083,3.032034178,11.51,0.857449125,1.253687517,12.61,-4.36,-2.22,-2.37,30.78051454,0.41,3.935284606,4.76,11.3,6.722146173,0.977588599,-0.730989028,1.369954725,1.587093939,-1.018905526,1.965214409,1.964985523,13.61327457,7.7,0.742648372,-0.059433773,2.433333333,-8.100478252,6.513796732,1.37,9012,1.500793866,2.565492104,-0.77519768,0.714764264,0.318276679,2.247285585,1.05,14.25,-0.531619633,0.387323947,-0.920005453,4.5,-1.339241175,2.464579775,1.032366991,0.419218641,2.727248165,-0.742945521,3.177111539,-3.5,-22.5,-16.5,26,54.5,1,-11,2.21661121,-1.890904605,26.84554321,9.11475411,1.136461164,0.930696377,10.07293213,5.789203576,-415.1039906,3.048073022,-0.472069737,-21.90127855,6.975549813,-16.4617579,-3.549398339,-2.316590062,-2.475261725,-1.819945588,-0.669727452,3.558292162,4.890095947,4.501074286,0.038133215,2.392484609,102.1832222,-5.307362144,1.038532384
1989Q1,0.195179139,1.990521982,101.7807,4.872689467,1.489086015,-0.740373567,5.191143873,1.322778902,0,1.817715483,11.43,0.439772221,1.413651927,12.531,-4.321,-2.371,-2.371,23.1121501,0.596666667,2.50498946,4.17,12.84,-7.107206333,-0.389889376,-1.065446563,0.378928012,0.057489359,15.83908191,2.616064176,2.616309263,-7.415597182,7.4,0.887719495,2.728019494,3.29,23.09312512,24.5508831,1.34,1874,-0.916176816,-0.212095185,-7.094029177,1.052294001,0.710417667,2.168900963,1.76,14.8,-0.808990651,0.370582134,10.2821464,4.9,-0.454408627,-0.563381881,2.214905187,1.66375063,1.482164772,-0.448431193,2.097377883,-8,-31,-18.5,32,53.5,-3,-17,-0.931805061,1.818864666,-12.38327913,-2.675395101,0.8019344,2.574516344,1.121608424,2.741483034,-74.44404749,2.61478392,-2.608839456,11.37474219,5.629800403,1.468659693,16.61918254,15.67920977,9.373968527,14.93838348,15.77952248,5.612972928,1.118655733,-2.021357629,-0.342135035,2.119995804,101.412905,-4.815693867,1.732724938
1989Q2,-0.039005364,1.807247194,101.2633,-1.689807508,-1.955896314,0.480866485,-2.045555574,0.567608199,1.869213301,2.105458192,12.19,0.65622444,1.170336602,13.5938,-5.1338,-3.0638,-3.0838,-11.21753165,0.713333333,3.280224756,4.28,12.49,-8.21668757,-4.849071034,-0.099336868,-3.423771791,-2.60907268,3.753640187,2.920922499,2.920862457,-7.281094655,7,0.52513249,2.439618055,3.046666667,-21.79381849,-0.471474521,2.27,2789,0.352193917,0.474724856,-2.795607727,0.36208809,0.121280739,2.066070622,1.29,15.51,0.377899813,0.320433974,5.885845391,7.1,-0.681962258,0.188146787,2.40480284,1.211342806,2.01930243,-0.262516598,0.981893784,-9,-35.5,-18,36,51,1.5,-16,-5.510745385,-0.9416643,-16.10795461,-12.09058802,1.791136484,2.415939757,-1.503991956,-3.721630164,0,-0.381045993,3.961937875,22.9655761,2.108016612,5.710381263,-1.236404201,-0.489897752,-15.17622068,2.55255356,4.784904564,0.029904306,1.306113678,-7.312868201,-0.204995358,1.724001562,100.7812279,-4.934096125,1.673565626
1989Q3,0.583488965,1.495508647,100.5176,2.613802237,2.32448618,1.545246798,1.137411016,0.183132104,1.834913867,2.180754796,12.78,0.099602795,1.187520999,13.9688,-5.4288,-3.2988,-3.2888,-0.273897734,0.67,-0.325511881,4,12.89,4.245221342,0.388800326,0.782173728,-1.8317521,-1.877164032,7.152143162,2.996618873,2.996553335,-5.293864677,6.9,0.24287728,3.799185233,2.93,-3.895979056,-16.67623236,1.58,1350,1.952684461,0.107899872,-0.171969088,0.367641157,0.44344183,0.255283077,1.33,15.99,0.371492042,2.697826115,8.332678986,5.8,-0.577658856,0.749067259,-0.55017792,-0.891544963,-1.660241266,-0.112718391,2.659731224,-5.5,-31.5,-15.5,33.5,49,10.5,-15.5,-10.81625327,0.218103105,-1.729454693,-0.061236188,2.024643363,-0.114669224,15.81497488,1.441095449,0,11.55165991,-0.301423962,-9.125991075,-5.081463562,-4.579801613,0.518281722,5.611605638,16.27071244,6.429077803,7.869175578,2.56074207,2.756532202,-5.224101008,-0.306087713,1.585222936,100.4530794,-5.132515764,1.242089832
1989Q4,0.290472706,1.999017085,99.78778,2.904896014,-1.605219155,-0.457297367,-2.059412772,-0.142269532,3.57180826,2.639714763,13.18,0.095060617,1.54514973,14.5,-5.85,-3.94,-3.93,14.38319714,1.413333333,-3.617368595,4.29,12.55,-0.507709592,-8.715373235,2.89688804,-3.789571319,-3.261332516,4.063529131,2.769182146,2.769153983,-5.833046707,6.8,0.316721271,1.638001927,3.796666667,47.59319361,58.05993186,1.88,-157,1.797567528,-0.865406577,-4.84890047,0.366294506,0.425464237,0.28288562,1.41,16.55,0.793508991,1.150064935,-5.46121916,4.4,-1.043167667,0.928511839,0.108542294,-0.10512032,-0.872824921,1.270095547,-1.520690491,-13.5,-47,-21.5,37.5,47.5,15.5,-21,-3.258966407,-1.315811095,-10.18030087,-8.295561344,2.556412522,1.331588716,11.13409037,2.001873536,0,5.631431653,2.140603904,-22.58398093,1.030063883,5.857288727,-8.049916322,-1.257462467,5.202070541,3.68869697,6.402321828,2.574940882,-3.541504918,-8.22176809,0.067169755,1.993999392,99.83393861,-3.629336231,1.010480081
