INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201703,640242,GAMES CONSOLES ONLINE SUB SERV,1,0,100,100,100,0.3,0.32,0.24
201703,320206,HAND ROLLING TOBACCO 20-30GM,1,1,102.465,102.511,102.465,2.53,3.72,1.98
201703,630434,BOOK ILLUSTRATED FOR UNDER 5,1,2,100.154,100.822,100.154,0.27,0.24,0.27
201703,630122,PC PERIPHERALS,1,0,102.421,100.618,100.618,2.24,1.14,1.6
201703,310423,BOTTLE OF CHAMPAGNE 75 CL,1,1,100.207,100.552,100.207,0.36,0.42,0.28
201703,212923,COOK-IN SAUCE-JAR/CAN 350-520G,1,1,100.378,100.787,100.378,0.57,1.1,0.38
201703,510127,MENS OFFICIAL FOOTBALL SHIRT,2,1,100.836,97.025,97.025,0.55,0.32,0.44
201703,520236,WOMENS HAIR COLOURANT 60-140ML,1,1,99.664,99.631,99.664,0.48,0.3,0.38
201703,520207,NHS PRESCRIPTION CHARGES,1,0,100,100,100,1.26,0.45,1.08
201703,630436,PROVINCIAL NEWSPAPERS,1,0,100.271,100.271,100.271,0.8,0.78,0.6
201703,630332,CHILD'S SOFT TOY/TEDDY BEAR,2,1,102.301,101.106,101.106,1.26,0.36,0.96
201703,212223,BRAND CHOC SWEETS 100-185G BAG,1,1,89.586,88.026,89.586,1.04,0.88,0.8
201703,630341,PRESCHOOL ACTIVITY TOY,2,1,95.651,94.723,94.723,2.31,0.72,1.76
201703,510249,WOMEN'S JEANS- BRANDED,2,1,111.062,106.766,106.766,0.55,0.45,0.44
201703,510507,BOY'S SHOES,2,1,101.911,101.575,101.575,0.44,0.4,0.36
201703,430317,ELECTRIC IRON,2,1,102.984,99.045,99.045,0.21,0.3,0.18
201703,212938,CHOCOLATE COVERED ICE CREAM,1,1,95.57,95.372,95.57,0.91,0.33,0.7
201703,210606,FRZEN IMP LAMB: LEG (PER KG),1,1,110.286,110.359,110.286,0.8,1,0.64
201703,410403,SCOTLAND WATER CHARGES,1,0,100,100,100,0.5,0.65,0.4
201703,211901,TEA BAGS PKT OF 80 (230G-250G),1,1,98.257,98.414,98.257,0.81,0.77,0.81
201703,430533,KITCHEN ROLL PK OF 2-4 SPECIFY,1,1,100.363,100.322,100.363,0.3,0.55,0.24
201703,620314,BOATS,2,0,100,100,100,3.3,0.34,2.86
201703,220319,CHINESE TAKEAWAY,1,1,100.203,100.239,100.203,1.76,1.44,1.4
201703,520305,PRIVATE HEALTH CARE 1,1,0,100,100,100,0.6,0.98,0.6
201703,630156,HEADPHONES SPECIFY TYPE,2,1,102.411,101.632,101.632,0.2,0.24,0.15
201703,630374,CHILDS SCOOTER AGE 5-12 YEARS,2,1,105.721,104.287,104.287,0.63,0.18,0.48
201703,220120,IN STORE CAFETERIA MEAL,1,1,99.891,99.836,99.891,3.52,3.77,2.8
201703,510410,CHILDS PYJAMAS 18MTHS-13YEARS,2,1,109.922,106.387,106.387,0.55,0.25,0.44
201703,640241,MUSIC STREAMING SUBSCRIPTIONS,1,0,100,100,100,0.44,0.32,0.36
201703,210912,FROZEN CHICKEN BREASTS,1,1,97.604,98.512,97.604,0.6,0.57,0.48
201703,410801,HOUSE DEPRECIATION,1,0,100.722,100.722,100.722,0,84,0
201703,220211,STAFF RESTAURANT FIZZY DRINK,1,1,99.907,99.753,99.907,1.44,0.45,1.26
201703,410517,DECORATOR-DAILY RATE;SPEC HRS,2,1,99.923,99.908,99.908,0.22,1.98,0.22
201703,640239,SOCIAL SUBSCRIPTIONS,1,0,102.386,102.386,102.386,1.76,0.96,1.44
201703,630510,POTTING COMPOST,1,1,100.144,100.651,100.144,0.4,0.42,0.32
201703,610303,OIL PER LITRE-MULTIGRADE,1,1,100.764,100.838,100.764,0.33,0.37,0.26
201703,630512,SEED PACK. SPEC VAR SEASONAL,1,1,99.475,99.579,99.475,0.35,0.3,0.28
201703,440402,MOBILE PHONE CHARGES,1,0,99.73,99.73,99.73,8.88,9.88,7.4
201703,630336,FOOTBALL,2,1,102.201,101.081,101.081,0.54,0.36,0.54
201703,430621,ANNUAL BOOSTER INJECTION,1,2,100.54,100.541,100.54,1.76,1.04,1.54
201703,610231,CAR SERVICE- LOCAL GARAGE,2,1,100.009,99.999,99.999,2,0.96,1.6
201703,520303,WOMEN'S HRDRESSING-CUT/BLOWDRY,2,1,100.664,100.628,100.628,2.24,1.82,1.68
201703,310428,CREAM LIQUER 70CL-1LT 15-20%,1,1,91.102,91.184,91.102,0.12,0.14,0.1
201703,630230,CD ALBUM (TOP 40),1,2,119.959,120.679,119.959,0.28,0.14,0.28
201703,510429,KNITTING WOOL-DOUBLE KNIT-100G,1,1,100.926,100.868,100.926,1.65,0.35,1.32
201703,212933,ICE CREAM 500ML-1L,1,1,105.061,107.211,105.061,0.91,0.44,0.7
201703,211707,DELVD MILK SEMI-SKIMMED PER PT,1,0,100,100,100,0.24,0.18,0.18
201703,510255,WOMEN'S SWIMWEAR,2,1,104.985,103.779,103.779,0.55,0.15,0.44
201703,440132,MEN'S CLOTHING HIRE- SEE HELP,2,1,101.257,101.151,101.151,0.17,0.15,0.17
201703,430535,SHEET OF WRAPPING PAPER,1,1,101.155,100.643,101.155,0.52,0.44,0.39
201703,630367,DIGITAL CAMCORDER,2,2,99.159,98.519,98.519,0.58,0.18,0.58
201703,620308,MINICAB FARE FOR 2 MILES,1,2,100.74,101.019,100.74,1.8,1.19,1.5
201703,510108,MEN'S JUMPER-KNITTED,2,1,105.757,101.333,101.333,0.55,0.4,0.44
201703,410201,MORTGAGE INTEREST PAYMENTS,1,0,99.777,99.777,99.777,0,25,0
201703,620318,ADULT BIKE,2,1,104.71,104.25,104.25,1.02,0.51,0.68
201703,310310,"WINE, PER 175 - 250 ML SERVING",1,1,100.774,100.927,100.774,3.52,3.8,2.8
201703,211602,EGGS-MEDIUM-PER DOZ OR 2 X 6,1,1,100.358,100.329,100.358,0.6,0.46,0.45
201703,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,101.207,101.183,101.207,0.2,0.35,0.16
201703,212399,POTATOES-NEW-LOOSE-PER KG,1,0,98.141,98.177,98.141,0.13,0.17,0.1
201703,310111,BOTTLED PREMIUM LAGER 4.3-7.5%,1,1,100.857,100.843,100.857,1.76,1.52,1.4
201703,620101,LONDON TRANSPORT RAIL FARES,1,0,100,100,100,3.22,1.2,2.53
201703,430613,DOG FOOD-CAN-385-400GM,1,1,100.925,100.908,100.925,0.96,1.12,0.84
201703,520141,MOBILE PHONE ACCESSORY,2,1,101.652,100.555,100.555,0.24,0.45,0.2
201703,440120,CHILD MINDER - HOURLY RATE,1,1,100.681,100.622,100.681,4.8,2.55,3.9
201703,410631,SHOWER HEAD,2,1,98.761,98.404,98.404,0.22,0.96,0.22
201703,310221,APPLE CIDER 4 CAN PACK 440ML,1,1,102.446,102.696,102.446,0.54,0.55,0.42
201703,212019,PURE FRUIT SMOOTHIE 750ML-1LTR,1,1,96.246,96.154,96.246,0.18,0.16,0.14
201703,430362,FRIDGE/FREEZER SPEC CAPACITIES,2,1,104.171,103.726,103.726,0.98,0.6,0.84
201703,211710,MILK SEMI-PER 2 PINTS/1.136 L,1,1,100.174,100.154,100.174,2.88,2.01,2.16
201703,510237,WOMEN'S SKIRT: CASUAL,2,1,122.502,109.419,109.419,0.55,0.3,0.44
201703,440127,MONTHLY SELF STORAGE FEE,2,1,99.686,99.273,99.273,1.44,0.3,1.2
201703,410402,ENGLAND & WALES WATER CHARGES,2,0,100,100,100,4.5,5.59,3.6
201703,212510,FRESH VEG-CUCUMBER-WHOLE,1,1,112.14,111.769,112.14,0.26,0.3,0.2
201703,610112,MOTORCYCLES,1,0,100.813,100.71,100.71,0.99,0.92,0.66
201703,212917,TOMATO KETCHUP,1,1,100.785,100.208,100.785,0.48,0.88,0.32
201703,310406,FORTIFIED WINE  (70-75CL),1,1,102.454,102.272,102.454,0.36,0.42,0.28
201703,430622,DOG KENNEL FEES DAILY CHARGE,2,1,100.975,100.925,100.925,1.68,1.04,1.47
201703,630150,"FLAT PANEL TV 23""-32""",2,1,106.728,105.85,105.85,0.96,0.72,0.72
201703,430119,KITCH BASE UNIT WIDTH 800-1000,2,1,105.431,103.517,103.517,1.44,2.34,1.2
201703,430230,CARPET -AXMINSTER(MIN 80% WOOL,2,2,101.69,101.401,101.401,0.92,1.5,0.69
