INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201705,410701,DWELLING INSURANCE,2,0,103.333,102.707,102.707,0,3.84,0
201705,310102,DRAUGHT BITTER (PER PINT),1,1,101.579,101.518,101.579,4.4,4.18,3.5
201705,210201,FLOUR-SELF-RAISING-1.5KG,1,1,103.91,103.457,103.91,0.3,0.12,0.24
201705,210302,PLAIN BISCUITS-200-300G,1,1,102.982,103.619,102.982,1.35,1.62,1.08
201705,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,100.568,101.071,100.568,1.8,1.59,1.35
201705,610101,3-YEAR-OLD SECOND-HAND CAR,1,0,98.844,98.844,98.844,9,12.42,7
201705,440250,PACKAGED CURRENT ACCOUNTS,1,2,100,100,100,1.26,0.22,0.99
201705,213006,COFFEE PODS PACK 8-16,1,1,100.83,99.289,100.83,0.24,0.26,0.24
201705,212712,KIWI FRUIT-EACH,1,1,109.099,106.667,109.099,0.18,0.21,0.14
201705,630229,PRE-RECORDED DVD (NON-FILM),2,2,96.398,92.399,92.399,0.32,0.16,0.32
201705,520241,RAZOR CARTRIDGE BLADES,1,1,103.813,104.145,103.813,0.72,0.45,0.57
201705,212107,HONEY JAR/BOTTLE 340G,1,1,94.432,94.659,94.432,0.26,0.16,0.2
201705,440236,UNIT TRUSTS COMM-INITIAL CHG,1,0,93.545,93.545,93.545,1.12,0,0.88
201705,640228,LEISURE CLASSES,1,0,100,100,100,3.9,4,3.12
201705,430140,SOFA BED,2,1,105.803,104.585,104.585,0.72,1.04,0.6
201705,430531,FABRIC CONDITIONER 500ML-1.5LT,1,1,102.94,99.952,102.94,0.4,0.44,0.32
201705,630309,BOXED BOARD GAME: NOT TRAVEL,2,1,107.33,105.973,105.973,1.26,0.18,0.96
201705,410401,E & W SEWERAGE CHARGE,2,0,102.133,102.133,102.133,5.4,6.11,4.5
201705,520206,TAMPONS-PACK OF 10-20,1,1,103.179,103.188,103.179,1.68,0.9,1.33
201705,630525,PLANT FOOD 800ML-2LT/500G-1.5K,1,1,99.151,99.171,99.151,0.25,0.3,0.2
201705,310401,WHISKY-70 CL BOTTLE,1,1,101.413,101.471,101.413,2.16,1.82,1.8
201705,510506,WOMEN'S SANDALS,2,1,122.547,115.133,115.133,0.88,0.48,0.72
201705,640226,PRIVATE HEALTH CLUB ANNUAL FEE,2,2,99.187,98.905,98.905,2.1,2.24,1.68
201705,420405,KEROSENE - 1000L DELIVERED,2,1,87.293,87.192,87.192,1,1.6,1
201705,410508,PLUMBER-DAYTIME HOURLY RATE,2,1,100.271,100.241,100.241,0.35,3.06,0.35
201705,211011,INDIVIDUAL MEAT PIE,1,1,102.252,101.751,102.252,0.8,0.66,0.64
201705,430101,DOUBLE WARDROBE,2,1,109.069,107.814,107.814,1.08,1.56,0.9
201705,212719,BANANAS-PER KG,1,1,100.56,100.608,100.56,0.9,0.84,0.7
201705,320124,E-CIG REFILL BOTTL/CART 2-10ML,1,1,100.375,100.096,100.375,0.23,0.2,0.18
201705,630155,DVD PLAYER,2,1,105.694,105.195,105.195,0.08,0.06,0.06
201705,211816,POWDERED BABY FORMULA 400-900G,1,1,100.332,100.294,100.332,0.48,0.44,0.36
201705,630228,PRE-RECORDED DVD (FILM),2,2,98.935,96.713,96.713,0.84,0.4,0.84
201705,620317,CHILDS BICYCLE,2,1,105.684,105.159,105.159,0.99,0.51,0.66
201705,430422,PLAIN GLASS TUMBLER,1,1,104.098,101.305,104.098,0.54,0.36,0.36
201705,640127,DVD RENT/VID ON DEM SUBS SERVS,2,0,100.381,100.366,100.366,0.22,0.12,0.18
201705,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,103.281,103.089,103.281,0.18,0.55,0.12
201705,213005,HOT CHOCOLATE DRINK INSTANT,1,1,96.966,97.201,96.966,0.27,0.2,0.27
201705,212722,GRAPES-PER KG,1,1,98.706,99.128,98.706,0.9,0.84,0.7
201705,620315,CAR PARK CHARGES,2,1,101.572,101.402,101.402,0.84,0.85,0.66
201705,510238,WOMEN'S SKIRT: WORK/FORMAL,2,1,116.454,106.008,106.008,1.65,0.9,1.32
201705,430407,"SMALL SAUCEPAN,MILK",2,1,102.488,101.39,101.39,0.84,0.6,0.56
201705,440406,SUBSCRIPTION TO INTERNET,1,0,92.944,94.47,94.47,0.72,0.78,0.6
201705,212725,SMALL TYPE ORANGES PER PACK/KG,1,1,114.719,115.96,114.719,0.27,0.21,0.21
201705,520319,LA SUPPORTED RES IN RET HOMES,1,0,102.062,102.062,102.062,0.96,0,0.78
201705,310315,BOTTLE OF WINE 70-75CL,1,1,101.61,101.479,101.61,3.52,3.8,2.8
