INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201704,410701,DWELLING INSURANCE,2,0,101.905,101.367,101.367,0,3.84,0
201704,310102,DRAUGHT BITTER (PER PINT),1,1,101.243,101.16,101.243,4.4,4.18,3.5
201704,210201,FLOUR-SELF-RAISING-1.5KG,1,1,102.592,102.185,102.592,0.3,0.12,0.24
201704,210302,PLAIN BISCUITS-200-300G,1,1,104.504,104.812,104.504,1.35,1.62,1.08
201704,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,101.036,101.682,101.036,1.8,1.59,1.35
201704,610101,3-YEAR-OLD SECOND-HAND CAR,1,0,99.382,99.382,99.382,9,12.42,7
201704,440250,PACKAGED CURRENT ACCOUNTS,1,2,100,100,100,1.26,0.22,0.99
201704,213006,COFFEE PODS PACK 8-16,1,1,101.04,100.126,101.04,0.24,0.26,0.24
201704,212712,KIWI FRUIT-EACH,1,1,102.207,102.944,102.207,0.18,0.21,0.14
201704,630229,PRE-RECORDED DVD (NON-FILM),2,2,97.263,94.535,94.535,0.32,0.16,0.32
201704,520241,RAZOR CARTRIDGE BLADES,1,1,101.657,102.203,101.657,0.72,0.45,0.57
201704,212107,HONEY JAR/BOTTLE 340G,1,1,102.016,102.194,102.016,0.26,0.16,0.2
201704,440236,UNIT TRUSTS COMM-INITIAL CHG,1,0,93.181,93.181,93.181,1.12,0,0.88
201704,640228,LEISURE CLASSES,1,0,100,100,100,3.9,4,3.12
201704,430140,SOFA BED,2,1,106.198,104.839,104.839,0.72,1.04,0.6
201704,430531,FABRIC CONDITIONER 500ML-1.5LT,1,1,100.188,98.753,100.188,0.4,0.44,0.32
201704,630309,BOXED BOARD GAME: NOT TRAVEL,2,1,98.644,97.105,97.105,1.26,0.18,0.96
201704,410401,E & W SEWERAGE CHARGE,2,0,102.133,102.133,102.133,5.4,6.11,4.5
201704,520206,TAMPONS-PACK OF 10-20,1,1,105.551,104.909,105.551,1.68,0.9,1.33
201704,630525,PLANT FOOD 800ML-2LT/500G-1.5K,1,1,100.159,99.964,100.159,0.25,0.3,0.2
201704,310401,WHISKY-70 CL BOTTLE,1,1,99.876,99.938,99.876,2.16,1.82,1.8
201704,510506,WOMEN'S SANDALS,2,1,124.175,116.411,116.411,0.88,0.48,0.72
201704,640226,PRIVATE HEALTH CLUB ANNUAL FEE,2,2,99.173,98.916,98.916,2.1,2.24,1.68
201704,420405,KEROSENE - 1000L DELIVERED,2,1,93.759,93.63,93.63,1,1.6,1
201704,410508,PLUMBER-DAYTIME HOURLY RATE,2,1,100.298,100.28,100.28,0.35,3.06,0.35
201704,211011,INDIVIDUAL MEAT PIE,1,1,104.087,102.849,104.087,0.8,0.66,0.64
201704,430101,DOUBLE WARDROBE,2,1,105.531,104.221,104.221,1.08,1.56,0.9
201704,212719,BANANAS-PER KG,1,1,100.374,100.392,100.374,0.9,0.84,0.7
201704,320124,E-CIG REFILL BOTTL/CART 2-10ML,1,1,100.796,100.808,100.796,0.23,0.2,0.18
201704,630155,DVD PLAYER,2,1,110.367,109.685,109.685,0.08,0.06,0.06
201704,211816,POWDERED BABY FORMULA 400-900G,1,1,100.612,100.598,100.612,0.48,0.44,0.36
201704,630228,PRE-RECORDED DVD (FILM),2,2,99.387,98.07,98.07,0.84,0.4,0.84
201704,620317,CHILDS BICYCLE,2,1,102.571,102.041,102.041,0.99,0.51,0.66
201704,430422,PLAIN GLASS TUMBLER,1,1,99.665,98.921,99.665,0.54,0.36,0.36
201704,640127,DVD RENT/VID ON DEM SUBS SERVS,2,0,100.381,100.366,100.366,0.22,0.12,0.18
201704,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,102.604,102.605,102.604,0.18,0.55,0.12
201704,213005,HOT CHOCOLATE DRINK INSTANT,1,1,102.022,101.959,102.022,0.27,0.2,0.27
201704,212722,GRAPES-PER KG,1,1,100.805,101.382,100.805,0.9,0.84,0.7
201704,620315,CAR PARK CHARGES,2,1,101.014,100.892,100.892,0.84,0.85,0.66
201704,510238,WOMEN'S SKIRT: WORK/FORMAL,2,1,108.627,99.647,99.647,1.65,0.9,1.32
201704,430407,"SMALL SAUCEPAN,MILK",2,1,101.131,99.878,99.878,0.84,0.6,0.56
201704,440406,SUBSCRIPTION TO INTERNET,1,0,92.944,94.47,94.47,0.72,0.78,0.6
201704,212725,SMALL TYPE ORANGES PER PACK/KG,1,1,113.414,113.714,113.414,0.27,0.21,0.21
201704,520319,LA SUPPORTED RES IN RET HOMES,1,0,101.91,101.91,101.91,0.96,0,0.78
201704,310315,BOTTLE OF WINE 70-75CL,1,1,100.619,100.539,100.619,3.52,3.8,2.8
201704,430135,3 PIECE NON-LEATHER SUITE,2,1,112.457,110.237,110.237,0.9,1.3,0.75
201704,610227,"CAR MOT TEST FEE, VAT EXEMPT",2,1,99.884,99.728,99.728,0.98,0.8,0.77
201704,430356,DISH WASHER 12-15 PLACE SET,2,1,102.836,102.086,102.086,0.21,0.18,0.18
201704,430228,BATH SHEET,2,1,106.07,104.235,104.235,1.19,0.6,1.02
201704,210111,WHITE SLICED LOAF BRANDED 750G,1,1,102.122,102.371,102.122,0.9,1.16,0.72
201704,630373,JIGSAW MINIMUM 100 PIECES,2,1,100.685,99.722,99.722,0.63,0.18,0.48
201704,610207,MOTOR-CAR SPARE PARTS,2,0,100.359,100.355,100.355,1.2,0.8,0.96
201704,211808,CHILLED POT DESSERT 125-200G,1,1,98.566,96.276,98.566,0.72,0.8,0.54
201704,510130,MENS 3/4 TO FULL LENGTH COAT,2,1,106.666,99.85,99.85,1.1,0.48,0.88
201704,510109,MEN'S FORMAL SHIRT-LONG SLEEVE,2,1,117.958,110.572,110.572,1.1,0.56,0.88
201704,630348,WATERSPORTS EQUIPMENT,2,0,99.829,99.292,99.292,1.2,0.27,1.04
201704,211105,FRESH FISH-SALMON FILLETS-KG,1,1,109.121,111.219,109.121,0.8,0.88,0.6
201704,440301,POSTAGE CHARGES,1,0,101.709,101.709,101.709,1,1,1
201704,212226,CHOCOLATE 12,1,1,101.265,102.316,101.265,0.39,1.1,0.3
201704,410621,VARNISH-CLEAR GLOSS-750ML-1LTR,1,1,101.601,101.609,101.601,0.05,0.18,0.05
201704,220117,BOTTLED MINERAL WATER,1,1,100.749,100.547,100.749,0.88,1.16,0.7
201704,430505,ALUMINIUM COOKING FOIL 300MM,1,1,99.691,99.549,99.691,0.2,0.44,0.16
201704,212937,CHILLED READY MEAL-FISH/VEG,1,1,101.411,101.298,101.411,0.42,1.32,0.28
201704,630233,BLU RAY DISC (FILM) FROM CHART,2,2,105.339,102.157,102.157,0.28,0.14,0.28
201704,610239,EXHAUST FITTING FAST FIT CENT,2,1,102.139,102.006,102.006,2,0.96,1.6
201704,310112,BOTTLE OF LAGER IN NIGHTCLUB,1,1,100.352,99.75,100.352,1.76,1.14,1.4
201704,220128,RESTAURANT MAIN COURSE,1,1,101.005,100.994,101.005,5.28,4.93,4.2
201704,630345,GOLF BALLS PRICE PER BALL,1,1,102.3,101.867,102.3,0.48,0.27,0.48
201704,320108,CIGARETTES 8,1,1,103.221,103.216,103.221,3.22,3.2,2.52
201704,630127,PERSONAL COMPUTERS (CPI),2,0,108.016,107.555,107.555,0.42,0.24,0.3
201704,510128,MEN'S BRANDED SPORT SWEATSHIRT,2,1,103.756,101.763,101.763,0.55,0.4,0.44
201704,610221,WINDSCREEN WIPER BLADES,2,1,99.032,98.59,98.59,1,0.64,0.8
201704,211023,COOKED HAM PREPACKED SLICED,1,1,102.466,101.595,102.466,2.4,1.14,1.92
201704,440240,BASIC WILL FOR A SINGLE PERSON,2,2,102.284,101.956,101.956,1.08,0.22,0.9
201704,220212,STAFF RESTAURANT SANDWICH,1,1,100.429,100.217,100.429,1.6,0.45,1.4
201704,430138,HOME OFFICE DESK,2,1,101.179,100.798,100.798,0.36,0.52,0.3
